emotion,song,quote
Happy,happy.mp3,Happiness grows when you share it.
Sad,sad.mp3,This feeling is temporary and will pass
Angry,calm.mp3,"Pause, breathe, and let it go."
Relaxed,peace.mp3,Peace begins with a calm mind.
Excited,excited.mp3,Follow what sets your soul on fire
Neutral,neutral.mp3,Every moment is a fresh beginning.
Fearful,soft.mp3,Courage starts with facing your fears.
Surprised,surprise.mp3,Life is full of beautiful surprises.
Tired,rest.mp3,Rest is productive too.
Confident,confident.mp3,Believe in yourself completely.
Anxious,relax.mp3,You are safe in this moment.
Motivated,motivation.mp3,"Push yourself, greatness awaits"
Lonely,comfort.mp3,You are never truly alone
Grateful,gratitude.mp3,Gratitude turns enough into more.
Hopeful,hope.mp3,Hope lights the darkest paths.
Bored,chill.mp3,Creativity begins in quiet moments.
Focused,focus.mp3,One task at a time.
Love,love.mp3,Love starts from within.
Calm,calm2.mp3,Stillness brings clarity.
Stressed,stressrelief.mp3,"stressrelief.mp3,Slow down, you are doing fine"
